Model,Time,Article
gemma4:e4b,30.814384,nhl-playoff-spots
gemma4:e4b,23.856936,outlook-in-space
gemma4:e4b,28.488079,outlook-in-space
gemma4:e4b,26.245614,outlook-in-space
gemma4:e4b,25.170708,pete-beer-horse
gemma4:e4b,26.862289,pete-beer-horse
gemma4:e4b,22.533946,pete-beer-horse
gemma4:e4b,28.22433,pope-leo-xiv-carries-cross
gemma4:e4b,32.337814,pope-leo-xiv-carries-cross
gemma4:e4b,31.551485,pope-leo-xiv-carries-cross
gemma4:e4b,27.780525,savannah-homeless-camps
gemma4:e4b,25.654337,savannah-homeless-camps
gemma4:e4b,29.882538,savannah-homeless-camps
gemma4:e4b,28.804846,whitehouse-app-privacy-policy
gemma4:e4b,27.130073,whitehouse-app-privacy-policy
gemma4:e4b,15.15608,whitehouse-app-privacy-policy
gemma4:e4b,25.63212,whitehouse-liberated-homeland-security
gemma4:e4b,29.376081,whitehouse-liberated-homeland-security
gemma4:e4b,28.268662,whitehouse-liberated-homeland-security
gemma4:e4b,27.098501,whitehouse-trump-ended-trans-for-everybody
gemma4:e4b,30.293819,whitehouse-trump-ended-trans-for-everybody
gemma4:e4b,15.120616,whitehouse-trump-ended-trans-for-everybody
qwen3:8b,15.871061,christians-trump-war-apocalypse
qwen3:8b,16.557939,christians-trump-war-apocalypse
qwen3:8b,15.468906,christians-trump-war-apocalypse
qwen3:8b,10.414149,empty-apartments
qwen3:8b,10.555024,empty-apartments
qwen3:8b,10.458049,empty-apartments
qwen3:8b,10.511734,fema-teleporting-waffle-house
qwen3:8b,10.37908,fema-teleporting-waffle-house
qwen3:8b,11.483991,fema-teleporting-waffle-house
qwen3:8b,15.525143,france-antisemitisme-proposition
qwen3:8b,15.398404,france-antisemitisme-proposition
qwen3:8b,14.063427,france-antisemitisme-proposition
qwen3:8b,11.500457,gemma-4
qwen3:8b,10.676295,gemma-4
qwen3:8b,10.208658,gemma-4
qwen3:8b,13.416551,maia-gbyte-leaks
qwen3:8b,11.786132,maia-gbyte-leaks
qwen3:8b,11.363072,maia-gbyte-leaks
qwen3:8b,12.177112,manjar-governance
qwen3:8b,13.661883,manjar-governance
qwen3:8b,14.41926,manjar-governance
qwen3:8b,12.392618,microsoft-copilot-entertainment-only
qwen3:8b,10.885988,microsoft-copilot-entertainment-only
qwen3:8b,10.534834,microsoft-copilot-entertainment-only
qwen3:8b,9.751818,nhl-playoff-spots
qwen3:8b,14.016737,nhl-playoff-spots
qwen3:8b,11.599963,nhl-playoff-spots
qwen3:8b,13.02832,outlook-in-space
qwen3:8b,8.365672,outlook-in-space
qwen3:8b,11.80164,outlook-in-space
qwen3:8b,10.680571,pete-beer-horse
qwen3:8b,8.64184,pete-beer-horse
qwen3:8b,10.981425,pete-beer-horse
qwen3:8b,12.686347,pope-leo-xiv-carries-cross
qwen3:8b,13.058919,pope-leo-xiv-carries-cross
qwen3:8b,13.735208,pope-leo-xiv-carries-cross
qwen3:8b,10.464398,savannah-homeless-camps
qwen3:8b,13.44713,savannah-homeless-camps
qwen3:8b,10.732593,savannah-homeless-camps
qwen3:8b,10.18905,whitehouse-app-privacy-policy
qwen3:8b,11.18101,whitehouse-app-privacy-policy
qwen3:8b,9.4393,whitehouse-app-privacy-policy
qwen3:8b,9.902231,whitehouse-liberated-homeland-security
qwen3:8b,8.787607,whitehouse-liberated-homeland-security
qwen3:8b,9.862399,whitehouse-liberated-homeland-security
qwen3:8b,10.409927,whitehouse-trump-ended-trans-for-everybody
qwen3:8b,10.154817,whitehouse-trump-ended-trans-for-everybody
qwen3:8b,11.574555,whitehouse-trump-ended-trans-for-everybody
qwen3.5:9b,118.71547,christians-trump-war-apocalypse
qwen3.5:9b,171.27053,christians-trump-war-apocalypse
qwen3.5:9b,176.029314,christians-trump-war-apocalypse
qwen3.5:9b,106.24508,empty-apartments
qwen3.5:9b,79.556697,empty-apartments
qwen3.5:9b,71.611603,empty-apartments
qwen3.5:9b,97.294135,fema-teleporting-waffle-house
qwen3.5:9b,212.218841,fema-teleporting-waffle-house
qwen3.5:9b,129.627152,fema-teleporting-waffle-house
qwen3.5:9b,112.957849,france-antisemitisme-proposition
qwen3.5:9b,132.29569,france-antisemitisme-proposition
qwen3.5:9b,204.861595,france-antisemitisme-proposition
qwen3.5:9b,174.00249,gemma-4
qwen3.5:9b,138.951536,gemma-4
qwen3.5:9b,200.108414,gemma-4
qwen3.5:9b,72.372407,maia-gbyte-leaks
qwen3.5:9b,64.750064,maia-gbyte-leaks
qwen3.5:9b,78.252477,maia-gbyte-leaks
qwen3.5:9b,73.525648,manjar-governance
qwen3.5:9b,177.48311,manjar-governance
qwen3.5:9b,67.525184,manjar-governance
qwen3.5:9b,194.571047,microsoft-copilot-entertainment-only
qwen3.5:9b,111.380213,microsoft-copilot-entertainment-only
qwen3.5:9b,85.864944,microsoft-copilot-entertainment-only
qwen3.5:9b,87.089803,nhl-playoff-spots
qwen3.5:9b,38.822286,nhl-playoff-spots
qwen3.5:9b,128.968205,nhl-playoff-spots
qwen3.5:9b,140.523227,outlook-in-space
qwen3.5:9b,85.071692,outlook-in-space
qwen3.5:9b,77.241161,outlook-in-space
qwen3.5:9b,105.759067,pete-beer-horse
qwen3.5:9b,149.757085,pete-beer-horse
qwen3.5:9b,74.8014,pete-beer-horse
qwen3.5:9b,175.860722,pope-leo-xiv-carries-cross
qwen3.5:9b,144.126621,pope-leo-xiv-carries-cross
qwen3.5:9b,101.017045,pope-leo-xiv-carries-cross
qwen3.5:9b,147.073836,savannah-homeless-camps
qwen3.5:9b,104.351978,savannah-homeless-camps
qwen3.5:9b,84.885623,savannah-homeless-camps
qwen3.5:9b,126.214509,whitehouse-app-privacy-policy
qwen3.5:9b,153.934151,whitehouse-app-privacy-policy
qwen3.5:9b,119.80319,whitehouse-app-privacy-policy
qwen3.5:9b,202.350349,whitehouse-liberated-homeland-security
qwen3.5:9b,197.79486,whitehouse-liberated-homeland-security
qwen3.5:9b,85.54584,whitehouse-liberated-homeland-security
qwen3.5:9b,88.093645,whitehouse-trump-ended-trans-for-everybody
qwen3.5:9b,122.793982,whitehouse-trump-ended-trans-for-everybody
qwen3.5:9b,71.36251,whitehouse-trump-ended-trans-for-everybody
nemotron-3-nano:4b,0.007795,christians-trump-war-apocalypse
nemotron-3-nano:4b,0.005948,christians-trump-war-apocalypse
nemotron-3-nano:4b,0.005543,christians-trump-war-apocalypse
nemotron-3-nano:4b,0.004537,empty-apartments
nemotron-3-nano:4b,0.004401,empty-apartments
nemotron-3-nano:4b,0.004483,empty-apartments
nemotron-3-nano:4b,0.004523,fema-teleporting-waffle-house
nemotron-3-nano:4b,0.004456,fema-teleporting-waffle-house
nemotron-3-nano:4b,0.004572,fema-teleporting-waffle-house
nemotron-3-nano:4b,0.005174,france-antisemitisme-proposition
nemotron-3-nano:4b,0.006327,france-antisemitisme-proposition
nemotron-3-nano:4b,0.008718,france-antisemitisme-proposition
nemotron-3-nano:4b,0.006996,gemma-4
nemotron-3-nano:4b,0.012951,gemma-4
nemotron-3-nano:4b,0.014103,gemma-4
nemotron-3-nano:4b,0.009999,maia-gbyte-leaks
nemotron-3-nano:4b,0.009789,maia-gbyte-leaks
nemotron-3-nano:4b,0.01153,maia-gbyte-leaks
nemotron-3-nano:4b,0.011407,manjar-governance
nemotron-3-nano:4b,0.00764,manjar-governance
nemotron-3-nano:4b,0.00609,manjar-governance
nemotron-3-nano:4b,0.005111,microsoft-copilot-entertainment-only
nemotron-3-nano:4b,0.005137,microsoft-copilot-entertainment-only
nemotron-3-nano:4b,0.004937,microsoft-copilot-entertainment-only
nemotron-3-nano:4b,0.004803,nhl-playoff-spots
nemotron-3-nano:4b,0.004877,nhl-playoff-spots
nemotron-3-nano:4b,0.013179,nhl-playoff-spots
nemotron-3-nano:4b,0.004695,outlook-in-space
nemotron-3-nano:4b,0.004413,outlook-in-space
nemotron-3-nano:4b,0.004488,outlook-in-space
nemotron-3-nano:4b,0.004367,pete-beer-horse
nemotron-3-nano:4b,0.00444,pete-beer-horse
nemotron-3-nano:4b,0.004547,pete-beer-horse
nemotron-3-nano:4b,0.004563,pope-leo-xiv-carries-cross
nemotron-3-nano:4b,0.004615,pope-leo-xiv-carries-cross
nemotron-3-nano:4b,0.004751,pope-leo-xiv-carries-cross
nemotron-3-nano:4b,0.004853,savannah-homeless-camps
nemotron-3-nano:4b,0.004661,savannah-homeless-camps
nemotron-3-nano:4b,0.004819,savannah-homeless-camps
nemotron-3-nano:4b,0.004696,whitehouse-app-privacy-policy
nemotron-3-nano:4b,0.004627,whitehouse-app-privacy-policy
